yr_cde,trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,crs_capacity,crs_enrollment,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,first_name,preferred_name,comment_txt
2018,30,BIOL,322,A,THE BIOLOGY OF CANCER,3,30,34,M,,W,,F,1:00:00 PM,1:50:00 PM,Antoszewski,Lisa,,
2018,30,BIOL,326,A,EVOLUTIONARY BIOLOGY,3,28,24,,T,,R,,10:05:00 AM,11:20:00 AM,Dudt,Jan,,BIOL 234
2018,30,BIOL,334,A,BIOCHEMISTRY FOR BIOLOGY,3,35,29,M,,W,,F,12:00:00 PM,12:50:00 PM,Pazehoski,Kristina,,"BIOL 101, 102, CHEM 241"
2018,30,BIOL,346,A,HUMAN/MAMMALIAN PHYSIOLOGY,4,55,47,M,,W,,F,11:00:00 AM,11:50:00 AM,Antoszewski,Lisa,,BIOL 234; LAB FEE
2018,30,BIOL,346,L,LABORATORY,0,20,24,,T,,,,1:00:00 PM,2:59:00 PM,Antoszewski,Lisa,,LAB FEE
2018,30,BIOL,346,M,LABORATORY,0,20,23,,T,,,,3:00:00 PM,4:59:00 PM,Antoszewski,Lisa,,LAB FEE
2018,30,BIOL,486,A,SEM  FOR BIOL TEACHERS,1,10,2,M,,,,,1:00:00 PM,1:50:00 PM,Chapman,Jarrett,,JR/SR EDUC MAJORS
2018,30,BIOL,488,A,SEMINAR IN BIOLOGY,1,13,13,,,W,,,2:00:00 PM,2:50:00 PM,Jenkins,Stephen,,SR STATUS
2018,30,BIOL,488,B,SEMINAR IN BIOLOGY,1,13,12,,,,R,,2:00:00 PM,2:50:00 PM,Shaw,Kevin,,SR STATUS
2018,30,CHEM,102,A,GENERAL CHEMISTRY II,4,48,47,M,,W,,F,10:00:00 AM,10:50:00 AM,Guevara,Holly,,"CHEM 101 OR 105, LAB FEE"
2018,30,CHEM,102,B,GENERAL CHEMISTRY II,4,48,51,M,,W,,F,11:00:00 AM,11:50:00 AM,Kriley,Charles,Chuck,"CHEM 101 OR 105, LAB FEE"
2018,30,CHEM,102,L,LABORATORY,0,32,33,,,W,,,2:00:00 PM,4:59:00 PM,Kriley,Charles,Chuck,"CHEM 101 OR 105, LAB FEE"
2018,30,CHEM,102,M,LABORATORY,0,32,32,,,,R,,10:05:00 AM,12:59:00 PM,Guevara,Holly,,"CHEM 101 OR 105, LAB FEE"
2018,30,CHEM,102,N,LABORATORY,0,32,33,,,,R,,2:30:00 PM,5:29:00 PM,Kriley,Charles,Chuck,"CHEM 101 OR 105, LAB FEE"
2018,30,CHEM,231,A,DESC INORG/BIOINORG CHEMISTRY,2,25,13,,T,,R,,10:05:00 AM,10:55:00 AM,Kriley,Charles,Chuck,CHEM 102 OR 105
2018,30,CHEM,235,A,CHEMISTRY IN CONTEXT,1,15,9,M,,,,,1:00:00 PM,1:50:00 PM,Homan,Timothy,,"CHEM 102, CHEM-BIOC MAJORS"
